snac	local-authority
	local-authority-nir:ABC
	local-authority-nir:AND
	local-authority-nir:ANN
	local-authority-nir:CCG
	local-authority-nir:DRS
	local-authority-nir:FMO
	local-authority-nir:LBC
	local-authority-nir:MEA
	local-authority-nir:MUL
	local-authority-nir:NMD
	local-authority-eng:GLA
00AA	local-authority-eng:LND
00AB	local-authority-eng:BDG
00AC	local-authority-eng:BNE
00AD	local-authority-eng:BEX
00AF	local-authority-eng:BRY
00AE	local-authority-eng:BEN
00AG	local-authority-eng:CMD
00AH	local-authority-eng:CRY
00AJ	local-authority-eng:EAL
00AK	local-authority-eng:ENF
00AL	local-authority-eng:GRE
00AM	local-authority-eng:HCK
00AN	local-authority-eng:HMF
00AP	local-authority-eng:HRY
00AQ	local-authority-eng:HRW
00AR	local-authority-eng:HAV
00AS	local-authority-eng:HIL
00AT	local-authority-eng:HNS
00AU	local-authority-eng:ISL
00AW	local-authority-eng:KEC
00AX	local-authority-eng:KTT
00AY	local-authority-eng:LBH
00AZ	local-authority-eng:LEW
00BA	local-authority-eng:MRT
00BB	local-authority-eng:NWM
00BC	local-authority-eng:RDB
00BD	local-authority-eng:RIC
00BE	local-authority-eng:SWK
00BF	local-authority-eng:STN
00BG	local-authority-eng:TWH
00BH	local-authority-eng:WFT
00BJ	local-authority-eng:WND
00BK	local-authority-eng:WSM
00BL	local-authority-eng:BOL
00BM	local-authority-eng:BUR
00BN	local-authority-eng:MAN
00BP	local-authority-eng:OLD
00BQ	local-authority-eng:RCH
00BR	local-authority-eng:SLF
00BS	local-authority-eng:SKP
00BT	local-authority-eng:TAM
00BU	local-authority-eng:TRF
00BW	local-authority-eng:WGN
00BX	local-authority-eng:KWL
00BY	local-authority-eng:LIV
00BZ	local-authority-eng:SHN
00CA	local-authority-eng:SFT
00CB	local-authority-eng:WRL
00CC	local-authority-eng:BNS
00CE	local-authority-eng:DNC
00CF	local-authority-eng:ROT
00CG	local-authority-eng:SHF
00CH	local-authority-eng:GAT
00CJ	local-authority-eng:NET
00CK	local-authority-eng:NTY
00CL	local-authority-eng:STY
00CM	local-authority-eng:SND
00CN	local-authority-eng:BIR
00CQ	local-authority-eng:COV
00CR	local-authority-eng:DUD
00CS	local-authority-eng:SAW
00CT	local-authority-eng:SOL
00CU	local-authority-eng:WLL
00CW	local-authority-eng:WLV
00CX	local-authority-eng:BRD
00CY	local-authority-eng:CLD
00CZ	local-authority-eng:KIR
00DA	local-authority-eng:LDS
00DB	local-authority-eng:WKF
00EB	local-authority-eng:HPL
00EC	local-authority-eng:MDB
00EE	local-authority-eng:RCC
00EF	local-authority-eng:STT
00EH	local-authority-eng:DAL
00EJ	local-authority-eng:DUR
00EM	local-authority-eng:NBL
00EQ	local-authority-eng:CHE
00ET	local-authority-eng:HAL
00EU	local-authority-eng:WRT
00EW	local-authority-eng:CHW
00EX	local-authority-eng:BBD
00EY	local-authority-eng:BPL
00FA	local-authority-eng:KHL
00FB	local-authority-eng:ERY
00FC	local-authority-eng:NEL
00FD	local-authority-eng:NLN
00FF	local-authority-eng:YOR
00FK	local-authority-eng:DER
00FN	local-authority-eng:LCE
00FP	local-authority-eng:RUT
00FY	local-authority-eng:NGM
00GA	local-authority-eng:HEF
00GF	local-authority-eng:TFW
00GG	local-authority-eng:SHR
00GL	local-authority-eng:STE
00HA	local-authority-eng:BAS
00HB	local-authority-eng:BST
00HC	local-authority-eng:NSM
00HD	local-authority-eng:SGC
